"num_collisions","year","weekday","max_temp","max_wind","fog","snow"
647,2013,"3",82.9,7,0,0
590,2013,"4",82.9,5.1,0,0
658,2013,"5",86,4.1,0,0
497,2013,"6",86,8.9,0,0
404,2013,"7",75.9,8.9,0,0
618,2013,"1",75.9,8.9,0,0
574,2013,"2",75.9,8,0,0
529,2013,"3",66.9,15.9,0,0
559,2013,"4",64.9,12,0,0
621,2013,"5",68,12,0,0
556,2013,"6",72,14,0,0
502,2013,"7",72,15.9,0,0
440,2013,"1",66,6,0,0
615,2013,"2",72,5.1,0,0
548,2013,"3",72,7,0,0
574,2013,"4",73,5.1,0,0
680,2013,"5",73,11.1,0,0
471,2013,"6",68,6,0,0
490,2013,"7",64,9.9,0,0
616,2013,"1",66,6,0,0
540,2013,"2",66.9,6,0,0
558,2013,"3",66.9,8.9,0,0
632,2013,"4",54,8.9,0,0
647,2013,"5",54,7,0,0
626,2013,"6",54,13,0,0
512,2013,"7",57.9,8,0,0
620,2013,"1",61,8,0,0
600,2013,"2",61,7,0,0
558,2013,"3",60.1,4.1,0,0
615,2013,"4",64.9,6,0,0
710,2013,"5",70,20,0,0
551,2013,"6",70,7,0,0
415,2013,"7",68,11.1,0,0
658,2013,"1",55,12,0,0
510,2013,"2",55,6,0,0
635,2013,"3",61,6,0,0
646,2013,"4",63,9.9,0,0
682,2013,"5",48,9.9,0,0
571,2013,"6",50,8.9,0,0
474,2013,"7",60.1,11.1,0,0
456,2013,"1",61,11.1,0,0
647,2013,"2",52,11.1,0,0
593,2013,"3",39,9.9,0,0
620,2013,"4",52,13,0,0
617,2013,"5",57,8,0,0
612,2013,"6",60.1,8.9,0,0
533,2013,"7",60.1,8.9,0,0
611,2013,"1",64.9,9.9,0,0
600,2013,"2",64.9,13,0,0
607,2013,"3",51.1,11.1,0,0
628,2013,"4",51.1,8,0,0
702,2013,"5",57,9.9,0,0
536,2013,"6",57,13,0,0
494,2013,"7",37.4,21,1,0
710,2013,"1",35.1,9.9,0,0
867,2013,"2",41,8,0,0
742,2013,"3",62.1,13,0,0
429,2013,"4",39.2,17.1,0,0
437,2013,"5",39,6,0,0
479,2013,"6",39,8,0,0
420,2013,"7",48.9,6,0,0
549,2013,"1",48.9,5.1,0,0
553,2013,"2",53.1,7,0,0
520,2013,"3",53.1,5.1,0,0
573,2013,"4",60.1,5.1,1,0
759,2013,"5",62.1,8.9,0,0
567,2013,"6",42.1,9.9,0,0
456,2013,"7",41,9.9,0,0
639,2013,"1",39,12,0,0
539,2013,"2",39,8.9,1,0
605,2013,"3",37,12,0,0
648,2013,"4",33.1,11.1,0,0
695,2013,"5",35.1,11.1,0,0
690,2013,"6",34,15.9,1,0
450,2013,"7",39.9,17.1,1,0
640,2013,"1",39.9,12,0,3.1
703,2013,"2",32,9.9,1,3.1
701,2013,"3",37,11.1,0,3.1
607,2013,"4",45,8,0,3.9
674,2013,"5",53.1,11.1,0,3.1
595,2013,"6",63,11.1,0,3.1
505,2013,"7",71.1,12,0,1.2
707,2013,"1",71.1,14,0,0
515,2013,"2",64,12,0,0
257,2013,"3",42.1,14,0,0
428,2013,"4",35.1,8,0,0
476,2013,"5",39.9,8.9,0,0
475,2013,"6",55,13,0,0
394,2013,"7",55,12,0,0
476,2013,"1",48,11.1,0,0
465,2013,"2",45,11.1,0,0
399,2014,"3",33.1,8.9,0,0
603,2014,"4",33.1,15,0,0
423,2014,"5",24.8,15,1,0
418,2014,"6",28,8,0,5.9
320,2014,"7",36,7,1,5.9
518,2014,"1",55,11.1,1,3.9
616,2014,"3",21,11.1,0,0
561,2014,"4",32,8,0,0
667,2014,"5",36,7,0,0
465,2014,"6",57.9,9.9,1,0
388,2014,"7",57.9,12,0,0
568,2014,"1",54,9.9,0,0
559,2014,"2",52,8.9,0,0
583,2014,"3",46.9,6,0,0
475,2014,"6",28,8,0,5.9
465,2014,"7",28,14,0,3.9
511,2014,"1",44.1,15,0,3.9
504,2014,"2",26.1,12,0,3.1
649,2014,"3",23,8.9,0,1.2
657,2014,"4",30,8.9,0,2
560,2014,"5",39,8.9,0,1.2
507,2014,"6",44.1,6,0,1.2
417,2014,"7",55.9,7,0,1.2
960,2014,"1",55.9,8.9,1,1.2
613,2014,"2",42.8,6,0,1.2
468,2014,"3",35.1,13,1,7.9
569,2014,"4",33.1,8,0,9.1
675,2014,"5",32,11.1,0,9.1
424,2014,"6",32,8.9,0,9.1
450,2014,"7",30.9,8,0,9.1
678,2014,"1",30.9,9.9,1,7.9
636,2014,"2",28.9,8.9,0,9.8
640,2014,"3",26.1,8.9,0,9.8
447,2014,"4",36,19,1,9.8
792,2014,"5",39.9,18.1,1,11.8
516,2014,"6",39.9,14,1,18.1
464,2014,"7",37,13,0,18.1
491,2014,"1",32,11.1,0,18.1
518,2014,"2",39,8.9,1,16.9
552,2014,"3",45,8.9,0,18.1
556,2014,"4",50,8.9,0,16.9
545,2014,"5",48.2,14,1,15
587,2014,"6",54,11.1,0,13
414,2014,"7",54,6,0,9.8
569,2014,"1",54,13,0,9.1
513,2014,"2",44.1,14,0,5.9
511,2014,"3",33.1,14,0,5.9
571,2014,"4",34,12,0,5.9
655,2014,"5",34,14,0,5.9
497,2014,"6",37,7,0,5.9
344,2014,"7",39.9,8,0,5.9
440,2014,"1",39.9,12,0,5.1
532,2014,"2",32,8,0,5.1
491,2014,"3",37,8.9,0,5.1
558,2014,"4",39,11.1,0,3.9
533,2014,"5",37,11.1,0,3.9
515,2014,"6",57,11.1,0,3.9
404,2014,"7",57,9.9,0,3.1
513,2014,"1",51.1,9.9,0,2
510,2014,"2",64.9,8,0,1.2
515,2014,"3",66,7,0,0
545,2014,"4",55.9,17.1,0,0
585,2014,"5",46,13,0,0
519,2014,"6",57.9,13,0,0
412,2014,"7",57.9,15,0,0
519,2014,"1",42.1,12,0,0
551,2014,"2",43,12,0,0
525,2014,"3",44.1,9.9,0,0
628,2014,"4",54,14,0,0
589,2014,"5",54,12,0,0
