"num_collisions_adj","max_temp","max_wind","day_group","winter_flag"
262.64,39,8.9,"Fri",1
237.783,44.1,6,"Sat",1
195.573,55.9,7,"Sun",1
450.24,55.9,8.9,"Mon-Thu",1
287.497,42.8,6,"Mon-Thu",1
219.492,35.1,13,"Mon-Thu",1
266.861,33.1,8,"Mon-Thu",1
316.575,32,11.1,"Fri",1
198.856,32,8.9,"Sat",1
211.05,30.9,8,"Sun",1
317.982,30.9,9.9,"Mon-Thu",1
298.284,28.9,8.9,"Mon-Thu",1
300.16,26.1,8.9,"Mon-Thu",1
209.643,36,19,"Mon-Thu",1
371.448,39.9,18.1,"Fri",1
242.004,39.9,14,"Sat",1
217.616,37,13,"Sun",1
230.279,32,11.1,"Mon-Thu",1
242.942,39,8.9,"Mon-Thu",1
258.888,45,8.9,"Mon-Thu",1
260.764,50,8.9,"Mon-Thu",1
255.605,48.2,14,"Fri",1
275.303,54,11.1,"Sat",1
194.166,54,6,"Sun",1
266.861,54,13,"Mon-Thu",1
240.597,44.1,14,"Mon-Thu",1
239.659,33.1,14,"Mon-Thu",1
267.799,34,12,"Mon-Thu",1
307.195,34,14,"Fri",1
233.093,37,7,"Sat",1
161.336,39.9,8,"Sun",1
206.36,39.9,12,"Mon-Thu",1
249.508,32,8,"Mon-Thu",1
230.279,37,8.9,"Mon-Thu",1
261.702,39,11.1,"Mon-Thu",1
249.977,37,11.1,"Fri",1
241.535,57,11.1,"Sat",1
189.476,57,9.9,"Sun",1
240.597,51.1,9.9,"Mon-Thu",1
239.19,64.9,8,"Mon-Thu",1
241.535,66,7,"Mon-Thu",1
255.605,55.9,17.1,"Mon-Thu",1
274.365,46,13,"Fri",1
243.411,57.9,13,"Sat",1
193.228,57.9,15,"Sun",1
243.411,42.1,12,"Mon-Thu",1
258.419,43,12,"Mon-Thu",1
246.225,44.1,9.9,"Mon-Thu",1
294.532,54,14,"Mon-Thu",1
276.241,54,12,"Fri",1
231.217,63,11.1,"Sat",1
200.263,63,9.9,"Sun",1
256.543,42.1,9.9,"Mon-Thu",1
222.306,39,9.9,"Mon-Thu",1
264.047,39,18.1,"Mon-Thu",1
252.322,44.1,15.9,"Mon-Thu",1
248.57,61,9.9,"Fri",1
266.861,62.1,15,"Sat",1
204.953,59,20,"Sun",1
262.171,55.9,12,"Mon-Thu",1
257.481,60.1,9.9,"Mon-Thu",0
243.411,60.1,5.1,"Mon-Thu",0
277.648,66.9,6,"Mon-Thu",0
291.718,54,12,"Fri",0
272.02,53.1,15,"Sat",0
226.996,61,9.9,"Sun",0
249.977,61,9.9,"Mon-Thu",0
284.214,64,12,"Mon-Thu",0
279.055,64,13,"Mon-Thu",0
302.505,61,14,"Mon-Thu",0
285.621,75,9.9,"Fri",0
271.082,75,8.9,"Sat",0
226.058,77,8.9,"Sun",0
241.066,77,11.1,"Mon-Thu",0
211.988,75,14,"Mon-Thu",0
267.33,63,15,"Mon-Thu",0
238.252,48.9,11.1,"Mon-Thu",0
232.624,48.9,8.9,"Fri",0
246.225,68,8,"Sat",0
184.317,68,11.1,"Sun",0
244.349,66.9,8,"Mon-Thu",0
215.271,71.1,8.9,"Mon-Thu",0
251.384,71.1,13,"Mon-Thu",0
274.834,62.1,13,"Mon-Thu",0
289.373,63,8,"Fri",0
257.481,66.9,9.9,"Sat",0
210.581,66.9,8,"Sun",0
279.993,66.9,8.9,"Mon-Thu",0
260.295,66.9,12,"Mon-Thu",0
305.319,52,13,"Mon-Thu",0
304.85,78.1,8,"Mon-Thu",0
327.362,78.1,8.9,"Fri",0
276.71,70,7,"Sat",0
211.519,71.1,13,"Sun",0
289.842,70,13,"Mon-Thu",0
264.985,71.1,8,"Mon-Thu",0
