"num_collisions_adj","max_temp","max_wind","weekday","month","year","fog","snow"
199.794,54,12,"7","03",2013,0,0
224.651,62.1,12,"1","04",2013,0,0
204.953,46.9,17.1,"2","04",2013,0,0
249.508,46,13,"3","04",2013,0,0
265.454,53.1,12,"4","04",2013,0,0
272.958,64,9.9,"5","04",2013,0,0
249.039,53.1,17.1,"6","04",2013,0,0
211.519,54,12,"7","04",2013,0,0
272.958,73,8.9,"1","04",2013,0,0
287.497,82,11.1,"2","04",2013,0,0
272.02,75.9,9.9,"3","04",2013,0,0
242.473,60.1,9.9,"4","04",2013,0,0
304.381,48.9,19,"5","04",2013,0,0
260.295,57.9,12,"6","04",2013,0,0
221.368,57,11.1,"7","04",2013,0,0
282.807,59,11.1,"1","04",2013,0,0
264.516,63,9.9,"2","04",2013,0,0
250.915,71.1,8,"3","04",2013,0,0
259.357,64,12,"4","04",2013,0,0
267.33,71.1,12,"5","04",2013,0,0
249.508,66,11.1,"6","04",2013,0,0
220.899,55,9.9,"7","04",2013,0,0
264.985,55,17.1,"1","04",2013,0,0
240.597,53.1,14,"2","04",2013,0,0
280.462,69.1,8,"3","04",2013,0,0
273.427,66,9.9,"4","04",2013,0,0
316.575,66.9,6,"5","04",2013,0,0
242.473,70,11.1,"6","04",2013,0,0
206.36,69.1,9.9,"7","04",2013,0,0
280.462,57,7,"1","04",2013,0,0
270.144,68,8.9,"2","04",2013,0,0
270.144,69.1,11.1,"3","05",2013,0,0
274.365,72,7,"4","05",2013,0,0
321.734,66,13,"5","05",2013,0,0
272.02,69.1,14,"6","05",2013,0,0
241.535,63,9.9,"7","05",2013,0,0
263.109,69.1,8.9,"1","05",2013,0,0
277.648,73.9,7,"2","05",2013,0,0
290.78,66,8.9,"3","05",2013,1,0
282.338,68,6,"4","05",2013,0,0
327.362,79,7,"5","05",2013,0,0
245.287,70,7,"6","05",2013,1,0
247.163,70,9.9,"7","05",2013,0,0
270.613,59,9.9,"1","05",2013,0,0
264.985,61,8,"2","05",2013,0,0
249.508,66.9,8,"3","05",2013,0,0
262.171,79,9.9,"4","05",2013,0,0
347.998,72,7,"5","05",2013,0,0
237.314,66.9,8.9,"6","05",2013,0,0
255.136,60.1,8,"7","05",2013,0,0
308.602,77,6,"1","05",2013,1,0
326.893,86,8.9,"2","05",2013,0,0
267.33,81,9.9,"3","05",2013,0,0
344.715,80.1,12,"4","05",2013,1,0
313.292,66.2,9.9,"5","05",2013,0,0
241.066,53.1,13,"6","05",2013,0,0
213.395,66,13,"7","05",2013,0,0
196.98,73,8,"1","05",2013,0,0
321.734,66.9,7,"2","05",2013,1,0
269.206,82,7,"3","05",2013,1,0
321.265,90,8,"4","05",2013,0,0
345.184,90,8,"5","05",2013,0,0
295.939,90,6,"6","06",2013,0,0
228.403,88,12,"7","06",2013,0,0
331.583,82,12,"1","06",2013,1,0
287.497,75,8,"2","06",2013,0,0
280.931,73.9,7,"3","06",2013,0,0
283.745,70,8,"4","06",2013,0,0
370.979,64,17.1,"5","06",2013,1,0
267.799,77,14,"6","06",2013,0,0
249.977,80.1,6,"7","06",2013,0,0
292.656,75,9.9,"1","06",2013,1,0
297.815,78.1,15,"2","06",2013,0,0
288.435,75.9,13,"3","06",2013,0,0
250.915,73.9,11.1,"4","06",2013,1,0
325.017,72,14,"5","06",2013,0,0
279.524,80.1,6,"6","06",2013,0,0
223.713,80.1,7,"7","06",2013,0,0
287.966,84,8,"1","06",2013,0,0
287.497,84,6,"2","06",2013,0,0
291.718,77,8,"3","06",2013,0,0
319.389,80.1,7,"4","06",2013,0,0
323.61,82,7,"5","06",2013,0,0
280.931,84,7,"6","06",2013,0,0
236.845,88,8,"7","06",2013,0,0
318.92,90,7,"1","06",2013,0,0
303.912,91,8.9,"2","06",2013,0,0
291.249,84.9,7,"3","06",2013,0,0
280.462,86,8,"4","06",2013,0,0
285.152,84.9,8,"5","06",2013,0,0
277.179,82.9,7,"6","06",2013,0,0
198.387,84,8,"7","06",2013,0,0
296.877,77,8,"1","07",2013,1,0
281.869,82,5.1,"2","07",2013,0,0
297.815,82.9,6,"3","07",2013,1,0
205.422,87.1,7,"4","07",2013,0,0
270.144,90,8.9,"5","07",2013,0,0
242.004,91.9,7,"6","07",2013,0,0
222.775,91.9,8,"7","07",2013,0,0
289.373,89.1,7,"1","07",2013,0,0
273.427,88,13,"2","07",2013,1,0
287.966,84.9,7,"3","07",2013,0,0
257.95,84,7,"4","07",2013,0,0
280.931,82,15,"5","07",2013,0,0
269.675,81,12,"6","07",2013,0,0
220.899,88,7,"7","07",2013,0,0
272.489,93.9,7,"1","07",2013,0,0
272.958,93.9,11.1,"2","07",2013,0,0
285.621,97,5.1,"3","07",2013,0,0
298.284,98.1,5.1,"4","07",2013,0,0
326.893,96.1,8.9,"5","07",2013,0,0
258.419,93,9.9,"6","07",2013,0,0
209.643,89.1,8.9,"7","07",2013,0,0
277.179,86,8,"1","07",2013,0,0
267.799,87.1,8.9,"2","07",2013,0,0
267.799,82.9,8,"3","07",2013,0,0
237.783,78.1,12,"4","07",2013,0,0
289.373,82.9,8.9,"5","07",2013,0,0
242.004,82,6,"6","07",2013,0,0
227.465,78.1,7,"7","07",2013,0,0
279.993,84.9,8.9,"1","07",2013,0,0
273.896,82.9,7,"2","07",2013,0,0
259.357,82.9,5.1,"3","07",2013,0,0
301.567,82.9,8,"4","08",2013,0,0
293.594,82.9,12,"5","08",2013,1,0
230.748,82.9,6,"6","08",2013,0,0
212.926,80.1,8,"7","08",2013,0,0
255.605,80.1,8,"1","08",2013,0,0
254.667,82,6,"2","08",2013,0,0
238.252,82,9.9,"3","08",2013,0,0
257.481,81,8,"4","08",2013,1,0
271.551,84.9,7,"5","08",2013,0,0
232.155,84.9,8,"6","08",2013,0,0
225.589,82.9,6,"7","08",2013,0,0
243.411,82,5.1,"1","08",2013,0,0
259.357,82,7,"2","08",2013,0,0
291.718,73.9,9.9,"3","08",2013,0,0
280.931,77,6,"4","08",2013,0,0
317.982,82,5.1,"5","08",2013,0,0
236.376,84,4.1,"6","08",2013,0,0
207.298,84,6,"7","08",2013,0,0
216.678,79,5.1,"1","08",2013,0,0
254.198,88,5.1,"2","08",2013,0,0
263.578,90,5.1,"3","08",2013,0,0
271.082,90,8,"4","08",2013,0,0
298.284,82,8,"5","08",2013,0,0
247.163,82,8,"6","08",2013,0,0
215.271,82.9,7,"7","08",2013,0,0
244.349,84,8,"1","08",2013,0,0
237.783,87.1,9.9,"2","08",2013,0,0
226.058,87.1,5.1,"3","08",2013,1,0
268.268,86,9.9,"4","08",2013,0,0
280.931,84,7,"5","08",2013,0,0
225.12,86,7,"6","08",2013,0,0
225.12,86,7,"7","09",2013,0,0
202.139,84,5.1,"1","09",2013,0,0
258.419,82,7,"2","09",2013,0,0
283.276,82,8,"3","09",2013,0,0
231.217,82,8,"4","09",2013,0,0
246.225,80.1,9.9,"5","09",2013,0,0
274.365,80.1,6,"6","09",2013,0,0
234.5,82.9,8,"7","09",2013,0,0
296.408,82.9,9.9,"1","09",2013,0,0
295.001,87.1,11.1,"2","09",2013,0,0
270.144,96.1,7,"3","09",2013,0,0
325.955,86,9.9,"4","09",2013,1,0
305.788,87.1,8.9,"5","09",2013,0,0
243.411,77,7,"6","09",2013,0,0
223.244,73,5.1,"7","09",2013,0,0
267.33,73,7,"1","09",2013,0,0
294.063,73,12,"2","09",2013,0,0
267.799,72,5.1,"3","09",2013,0,0
251.384,78.1,6,"4","09",2013,0,0
295.939,79,5.1,"5","09",2013,0,0
256.074,79,11.1,"6","09",2013,0,0
274.365,77,9.9,"7","09",2013,1,0
310.009,69.1,8,"1","09",2013,0,0
288.435,73,8,"2","09",2013,0,0
252.791,73,4.1,"3","09",2013,0,0
242.004,73,8,"4","09",2013,0,0
259.357,71.1,8,"5","09",2013,0,0
256.543,73,7,"6","09",2013,0,0
237.314,73,8,"7","09",2013,0,0
283.745,75,6,"1","09",2013,0,0
288.904,82,7,"2","10",2013,0,0
303.443,82.9,7,"3","10",2013,0,0
276.71,82.9,5.1,"4","10",2013,0,0
308.602,86,4.1,"5","10",2013,0,0
233.093,86,8.9,"6","10",2013,0,0
189.476,75.9,8.9,"7","10",2013,0,0
289.842,75.9,8.9,"1","10",2013,0,0
269.206,75.9,8,"2","10",2013,0,0
248.101,66.9,15.9,"3","10",2013,0,0
262.171,64.9,12,"4","10",2013,0,0
291.249,68,12,"5","10",2013,0,0
260.764,72,14,"6","10",2013,0,0
235.438,72,15.9,"7","10",2013,0,0
206.36,66,6,"1","10",2013,0,0
288.435,72,5.1,"2","10",2013,0,0
257.012,72,7,"3","10",2013,0,0
269.206,73,5.1,"4","10",2013,0,0
318.92,73,11.1,"5","10",2013,0,0
220.899,68,6,"6","10",2013,0,0
229.81,64,9.9,"7","10",2013,0,0
288.904,66,6,"1","10",2013,0,0
253.26,66.9,6,"2","10",2013,0,0
261.702,66.9,8.9,"3","10",2013,0,0
296.408,54,8.9,"4","10",2013,0,0
303.443,54,7,"5","10",2013,0,0
293.594,54,13,"6","10",2013,0,0
240.128,57.9,8,"7","10",2013,0,0
290.78,61,8,"1","10",2013,0,0
281.4,61,7,"2","10",2013,0,0
261.702,60.1,4.1,"3","10",2013,0,0
288.435,64.9,6,"4","10",2013,0,0
332.99,70,20,"5","11",2013,0,0
258.419,70,7,"6","11",2013,0,0
194.635,68,11.1,"7","11",2013,0,0
308.602,55,12,"1","11",2013,0,0
239.19,55,6,"2","11",2013,0,0
297.815,61,6,"3","11",2013,0,0
302.974,63,9.9,"4","11",2013,0,0
319.858,48,9.9,"5","11",2013,0,0
267.799,50,8.9,"6","11",2013,0,0
222.306,60.1,11.1,"7","11",2013,0,0
213.864,61,11.1,"1","11",2013,0,0
303.443,52,11.1,"2","11",2013,0,0
278.117,39,9.9,"3","11",2013,0,0
290.78,52,13,"4","11",2013,0,0
289.373,57,8,"5","11",2013,0,0
287.028,60.1,8.9,"6","11",2013,0,0
249.977,60.1,8.9,"7","11",2013,0,0
286.559,64.9,9.9,"1","11",2013,0,0
281.4,64.9,13,"2","11",2013,0,0
284.683,51.1,11.1,"3","11",2013,0,0
294.532,51.1,8,"4","11",2013,0,0
