"num_collisions","max_temp","max_wind","day_group","winter_flag","weekday"
212,50,8.9,"Sun",1,"7"
224,48.9,13,"Mon-Thu",1,"1"
268,48.9,19,"Mon-Thu",1,"2"
244,52,11.1,"Mon-Thu",1,"3"
262,52,15.9,"Mon-Thu",1,"4"
306,45,15.9,"Fri",1,"5"
251,37,15.9,"Sat",1,"6"
216,41,12,"Sun",1,"7"
250,43,8,"Mon-Thu",1,"1"
299,63,11.1,"Mon-Thu",1,"2"
224,64,8.9,"Mon-Thu",1,"3"
287,71.1,7,"Mon-Thu",1,"4"
338,71.1,9.9,"Fri",1,"5"
252,68,15.9,"Sat",1,"6"
244,54,15.9,"Sun",1,"7"
253,37.9,15,"Mon-Thu",1,"1"
237,39,8.9,"Mon-Thu",1,"2"
243,46.9,8,"Mon-Thu",1,"3"
244,46.9,9.9,"Mon-Thu",1,"4"
309,46.9,19,"Fri",1,"5"
283,59,7,"Sat",1,"6"
261,63,7,"Sun",1,"7"
295,63,7,"Mon-Thu",1,"1"
283,66,7,"Mon-Thu",1,"2"
268,66,8,"Mon-Thu",1,"3"
257,68,8,"Mon-Thu",1,"4"
336,82,15.9,"Fri",1,"5"
325,82,14,"Sat",1,"6"
198,69.1,11.1,"Sun",1,"7"
240,60.1,17.1,"Mon-Thu",1,"1"
281,61,9.9,"Mon-Thu",1,"2"
284,66.9,8,"Mon-Thu",1,"3"
263,66.9,13,"Mon-Thu",0,"4"
283,57.9,14,"Fri",0,"5"
281,53.1,8.9,"Sat",0,"6"
259,64.9,8.9,"Sun",0,"7"
268,68,12,"Mon-Thu",0,"1"
318,70,9.9,"Mon-Thu",0,"2"
303,72,5.1,"Mon-Thu",0,"3"
310,72,8,"Mon-Thu",0,"4"
281,70,8.9,"Fri",0,"5"
294,70,7,"Sat",0,"6"
215,70,13,"Sun",0,"7"
264,51.1,14,"Mon-Thu",0,"1"
321,64.9,8,"Mon-Thu",0,"2"
295,72,8,"Mon-Thu",0,"3"
270,72,8.9,"Mon-Thu",0,"4"
298,57.9,14,"Fri",0,"5"
265,55.9,9.9,"Sat",0,"6"
258,64,6,"Sun",0,"7"
320,64.9,8.9,"Mon-Thu",0,"1"
313,75.9,8,"Mon-Thu",0,"2"
283,75.9,12,"Mon-Thu",0,"3"
252,46.9,17.1,"Mon-Thu",0,"4"
357,64,12,"Fri",0,"5"
301,72,8,"Sat",0,"6"
273,72,8.9,"Sun",0,"7"
300,63,11.1,"Mon-Thu",0,"1"
273,64,8,"Mon-Thu",0,"2"
380,82.9,5.1,"Mon-Thu",0,"3"
324,84.9,8,"Mon-Thu",0,"4"
331,71.1,15.9,"Fri",0,"5"
318,71.1,17.1,"Sat",0,"6"
330,82,8.9,"Sun",0,"7"
316,82,8.9,"Mon-Thu",0,"1"
345,72,8.9,"Mon-Thu",0,"2"
339,73,11.1,"Mon-Thu",0,"3"
339,66,9.9,"Mon-Thu",0,"4"
319,66,7,"Fri",0,"5"
305,66,8,"Sat",0,"6"
266,64.9,9.9,"Sun",0,"7"
279,64.9,8,"Mon-Thu",0,"1"
326,66.9,8.9,"Mon-Thu",0,"2"
330,68,11.1,"Mon-Thu",0,"3"
318,72,7,"Mon-Thu",0,"4"
411,75.9,8,"Fri",0,"5"
321,79,8,"Sat",0,"6"
337,79,7,"Sun",0,"7"
320,78.1,8,"Mon-Thu",0,"1"
374,82,7,"Mon-Thu",0,"2"
347,86,6,"Mon-Thu",0,"3"
385,86,6,"Mon-Thu",0,"4"
384,79,5.1,"Fri",0,"5"
378,89.1,11.1,"Sat",0,"6"
330,89.1,11.1,"Sun",0,"7"
322,88,13,"Mon-Thu",0,"1"
354,73,8,"Mon-Thu",0,"2"
333,86,8.9,"Mon-Thu",0,"3"
433,86,11.1,"Mon-Thu",0,"4"
358,81,13,"Fri",0,"5"
242,51.8,17.1,"Sat",0,"6"
256,51.8,14,"Sun",0,"7"
275,70,8.9,"Mon-Thu",0,"1"
355,75.9,4.1,"Mon-Thu",0,"2"
339,75.9,5.1,"Mon-Thu",0,"3"
288,75,4.1,"Mon-Thu",0,"4"
331,78.1,13,"Fri",0,"5"
365,89.1,9.9,"Sat",0,"6"
367,91.9,7,"Sun",0,"7"
381,91.9,6,"Mon-Thu",0,"1"
355,91,11.1,"Mon-Thu",0,"2"
353,90,7,"Mon-Thu",0,"3"
370,90,9.9,"Mon-Thu",0,"4"
343,84,8,"Fri",0,"5"
327,69.1,8.9,"Sat",0,"6"
330,75.9,5.1,"Sun",0,"7"
329,75.9,6,"Mon-Thu",0,"1"
388,78.1,8,"Mon-Thu",0,"4"
388,84,8,"Fri",0,"5"
372,88,7,"Sat",0,"6"
323,88,6,"Sun",0,"7"
361,86,6,"Mon-Thu",0,"1"
290,86,8.9,"Mon-Thu",0,"2"
353,78.1,8.9,"Mon-Thu",0,"3"
384,77,6,"Mon-Thu",0,"4"
381,81,8,"Fri",0,"5"
375,82.9,6,"Sat",0,"6"
333,90,8,"Sun",0,"7"
379,91.9,8,"Mon-Thu",0,"1"
350,95,8,"Mon-Thu",0,"2"
362,98.1,9.9,"Mon-Thu",0,"3"
319,98.1,11.1,"Mon-Thu",0,"4"
333,84,6,"Fri",0,"5"
291,79,12,"Sat",0,"6"
289,79,6,"Sun",0,"7"
322,82.9,7,"Mon-Thu",0,"1"
326,91.9,12,"Mon-Thu",0,"2"
324,91.9,6,"Mon-Thu",0,"3"
306,91,11.1,"Mon-Thu",0,"4"
346,84.9,9.9,"Fri",0,"5"
293,84.9,12,"Sat",0,"6"
263,81,6,"Sun",0,"7"
303,86,11.1,"Mon-Thu",0,"1"
298,86,11.1,"Mon-Thu",0,"2"
331,87.1,6,"Mon-Thu",0,"3"
372,89.1,5.1,"Mon-Thu",0,"4"
350,91,7,"Fri",0,"5"
339,91,6,"Sat",0,"6"
310,91,9.9,"Sun",0,"7"
328,84,8.9,"Mon-Thu",0,"1"
286,86,5.1,"Mon-Thu",0,"2"
330,86,6,"Mon-Thu",0,"3"
329,81,7,"Mon-Thu",0,"4"
324,82.9,7,"Fri",0,"5"
337,84,5.1,"Sat",0,"6"
322,84,6,"Sun",0,"7"
359,88,7,"Mon-Thu",0,"1"
318,89.1,6,"Mon-Thu",0,"2"
300,89.1,12,"Mon-Thu",0,"3"
319,81,8.9,"Mon-Thu",0,"4"
383,82,13,"Fri",0,"5"
353,82,9.9,"Sat",0,"6"
303,77,6,"Sun",0,"7"
325,80.1,7,"Mon-Thu",0,"1"
313,80.1,5.1,"Mon-Thu",0,"2"
291,79,8.9,"Mon-Thu",0,"3"
304,81,8.9,"Mon-Thu",0,"4"
355,88,6,"Fri",0,"5"
334,88,8,"Sat",0,"6"
314,87.1,14,"Sun",0,"7"
339,81,9.9,"Mon-Thu",0,"1"
331,84,9.9,"Mon-Thu",0,"2"
316,89.1,7,"Mon-Thu",0,"3"
324,93,7,"Mon-Thu",0,"4"
358,93.9,7,"Fri",0,"5"
302,93.9,6,"Sat",0,"6"
314,88,8.9,"Sun",0,"7"
301,82.9,6,"Mon-Thu",0,"1"
286,82.9,6,"Mon-Thu",0,"2"
334,82.9,7,"Mon-Thu",0,"3"
286,84.9,9.9,"Mon-Thu",0,"4"
325,84.9,6,"Fri",0,"5"
321,82,7,"Sat",0,"6"
257,82,9.9,"Sun",0,"7"
293,82.9,8,"Mon-Thu",0,"1"
332,89.1,6,"Mon-Thu",0,"2"
336,91,4.1,"Mon-Thu",0,"3"
343,91,7,"Mon-Thu",0,"4"
349,93,13,"Fri",0,"5"
303,93,14,"Sat",0,"6"
358,80.1,8,"Sun",0,"7"
323,84.9,6,"Mon-Thu",0,"1"
310,84.9,8,"Mon-Thu",0,"2"
319,82.9,15,"Mon-Thu",0,"3"
365,78.1,19,"Mon-Thu",0,"4"
353,77,6,"Fri",0,"5"
341,79,6,"Sat",0,"6"
293,79,6,"Sun",0,"7"
299,81,8.9,"Mon-Thu",0,"1"
337,81,6,"Mon-Thu",0,"2"
334,82,8,"Mon-Thu",0,"3"
294,82,19,"Mon-Thu",0,"4"
352,75.9,8.9,"Fri",0,"5"
333,75.9,5.1,"Sat",0,"6"
321,81,6,"Sun",0,"7"
378,82.9,7,"Mon-Thu",0,"1"
342,82.9,5.1,"Mon-Thu",0,"2"
356,84.9,8.47801608579088,"Mon-Thu",0,"3"
269,84.9,8.47801608579088,"Mon-Thu",0,"4"
375,75.9,8.47801608579088,"Fri",0,"5"
319,84,8.47801608579088,"Sat",0,"6"
318,84,8.47801608579088,"Sun",0,"7"
317,75.9,8.47801608579088,"Mon-Thu",0,"1"
312,75.9,8.47801608579088,"Mon-Thu",0,"2"
289,79,8.47801608579088,"Mon-Thu",0,"3"
319,79,7,"Mon-Thu",0,"4"
383,79,8.9,"Fri",0,"5"
358,75,4.1,"Sat",0,"6"
314,75,8.9,"Sun",0,"7"
325,78.1,8.47801608579088,"Mon-Thu",0,"1"
296,78.1,8.47801608579088,"Mon-Thu",0,"2"
343,71.1,8.47801608579088,"Mon-Thu",0,"3"
344,68,8.47801608579088,"Mon-Thu",0,"4"
385,66.9,8.94671916010499,"Fri",0,"5"
349,73.9,8.94671916010499,"Sat",0,"6"
328,77,8.94671916010499,"Sun",0,"7"
290,77,8.94671916010499,"Mon-Thu",0,"1"
318,73,4.1,"Mon-Thu",0,"2"
270,69.8,6,"Mon-Thu",0,"3"
368,73,5.1,"Mon-Thu",0,"4"
361,75.9,8,"Fri",0,"5"
268,75.9,13,"Sat",0,"6"
269,66.9,13,"Sun",0,"7"
297,71.1,13,"Mon-Thu",0,"1"
321,71.1,6,"Mon-Thu",0,"2"
312,69.1,5.1,"Mon-Thu",0,"3"
353,75.9,6,"Mon-Thu",0,"4"
381,78.1,6,"Fri",0,"5"
339,79,13,"Sat",0,"6"
319,75.9,8,"Sun",0,"7"
318,61,13,"Mon-Thu",0,"1"
302,66,8.9,"Mon-Thu",0,"2"
365,75,8,"Mon-Thu",0,"3"
372,75,8,"Mon-Thu",0,"4"
381,73,8.9,"Fri",0,"5"
312,69.1,6,"Sat",0,"6"
236,59,6,"Sun",0,"7"
330,73,5.1,"Mon-Thu",0,"1"
323,73,12,"Mon-Thu",0,"2"
323,60.1,13,"Mon-Thu",0,"3"
344,61,8,"Mon-Thu",0,"4"
357,57,13,"Fri",0,"5"
352,64,13,"Sat",0,"6"
362,64,9.9,"Sun",0,"7"
331,63,11.1,"Mon-Thu",0,"1"
276,57.9,8.9,"Mon-Thu",0,"2"
321,53.1,8.9,"Mon-Thu",0,"3"
317,51.1,7,"Mon-Thu",0,"4"
386,51.1,7,"Fri",0,"5"
335,52,4.1,"Sat",0,"6"
265,53.1,5.1,"Sun",0,"7"
329,63,5.1,"Mon-Thu",0,"1"
328,68,6,"Mon-Thu",0,"2"
