"injury_rate","av_temp","snow","av_wind","day_group","winter_flag","freeze_lvl"
0.464406779661017,58.4,0,3.2,"Mon-Thu",0,"above"
0.425925925925926,54.6,0,3.5,"Mon-Thu",0,"above"
0.426174496644295,46,0,5.5,"Fri",0,"above"
0.422641509433962,48.6,0,5.4,"Sat",0,"above"
0.608527131782946,54.6,0,2.9,"Sun",0,"above"
0.44375,58.9,0,3,"Mon-Thu",0,"above"
0.536741214057508,62.2,0,2.7,"Mon-Thu",0,"above"
0.480565371024735,58.5,0,4.7,"Mon-Thu",0,"above"
0.384920634920635,41.2,0,10.7,"Mon-Thu",0,"above"
0.34733893557423,49.4,0,7.5,"Fri",0,"above"
0.438538205980066,60.4,0,3.7,"Sat",0,"above"
0.63003663003663,56.1,0,3.9,"Sun",0,"above"
0.506666666666667,52,0,7.4,"Mon-Thu",0,"above"
0.36996336996337,54.4,0,2.7,"Mon-Thu",0,"above"
0.526315789473684,63.6,0,2,"Mon-Thu",0,"above"
0.435185185185185,66.7,0,1.3,"Mon-Thu",0,"above"
0.435045317220544,65.1,0,9.2,"Fri",0,"above"
0.547169811320755,52,0,9.3,"Sat",0,"above"
0.654545454545455,66,0,5.7,"Sun",0,"above"
0.588607594936709,62.9,0,5.2,"Mon-Thu",0,"above"
0.481159420289855,58.8,0,3.8,"Mon-Thu",0,"above"
0.421828908554572,55.3,0,3.4,"Mon-Thu",0,"above"
0.454277286135693,57,0,5.9,"Mon-Thu",0,"above"
0.435736677115987,57.7,0,3.7,"Fri",0,"above"
0.488524590163934,51.8,0,2.9,"Sat",0,"above"
0.5,51.9,0,3.3,"Sun",0,"above"
0.433691756272401,52.1,0,4.9,"Mon-Thu",0,"above"
0.55521472392638,56.8,0,4.6,"Mon-Thu",0,"above"
0.463636363636364,56.6,0,6.9,"Mon-Thu",0,"above"
0.49685534591195,60.6,0,2.5,"Mon-Thu",0,"above"
0.527980535279805,63.8,0,3.6,"Fri",0,"above"
0.532710280373832,66.8,0,3.4,"Sat",0,"above"
0.427299703264095,66.7,0,2.5,"Sun",0,"above"
0.434375,66.2,0,2.1,"Mon-Thu",0,"above"
0.489304812834225,70.4,0,4.4,"Mon-Thu",0,"above"
0.484149855907781,75.4,0,4.5,"Mon-Thu",0,"above"
0.436363636363636,68.3,0,2.6,"Mon-Thu",0,"above"
0.403645833333333,66.8,0,1.5,"Fri",0,"above"
0.555555555555556,75.8,0,2.2,"Sat",0,"above"
0.506060606060606,80,0,5.5,"Sun",0,"above"
0.422360248447205,65.2,0,6,"Mon-Thu",0,"above"
0.573446327683616,64,0,4.1,"Mon-Thu",0,"above"
0.507507507507508,72.8,0,3.5,"Mon-Thu",0,"above"
0.515011547344111,73.1,0,3.9,"Mon-Thu",0,"above"
0.452513966480447,62.3,0,7.2,"Fri",0,"above"
0.34297520661157,49.1,0,10.4,"Sat",0,"above"
0.4453125,49.2,0,8,"Sun",0,"above"
0.563636363636364,55.1,0,4.7,"Mon-Thu",0,"above"
0.453521126760563,64.8,0,0.9,"Mon-Thu",0,"above"
0.498525073746313,67.7,0,2.5,"Mon-Thu",0,"above"
0.409722222222222,65.5,0,1,"Mon-Thu",0,"above"
0.459214501510574,70.2,0,2.5,"Fri",0,"above"
0.454794520547945,74.8,0,4.1,"Sat",0,"above"
0.542234332425068,83.5,0,2.7,"Sun",0,"above"
0.509186351706037,81.5,0,2.6,"Mon-Thu",0,"above"
0.419718309859155,80.6,0,2.6,"Mon-Thu",0,"above"
0.541076487252125,78.7,0,2.4,"Mon-Thu",0,"above"
0.424324324324324,78.2,0,4.9,"Mon-Thu",0,"above"
0.46064139941691,65.8,0,4.6,"Fri",0,"above"
0.522935779816514,66.2,0,4.2,"Sat",0,"above"
0.521212121212121,66.8,0,1.9,"Sun",0,"above"
0.437689969604863,67.9,0,2,"Mon-Thu",0,"above"
0.466494845360825,68.9,0,3.8,"Mon-Thu",0,"above"
0.456185567010309,73.7,0,3.6,"Fri",0,"above"
0.467741935483871,75.8,0,4.4,"Sat",0,"above"
0.486068111455108,75.4,0,2.5,"Sun",0,"above"
0.473684210526316,80,0,2.5,"Mon-Thu",0,"above"
0.475862068965517,72.1,0,4.2,"Mon-Thu",0,"above"
0.509915014164306,64.9,0,4.3,"Mon-Thu",0,"above"
0.458333333333333,68.6,0,2.8,"Mon-Thu",0,"above"
0.498687664041995,69.4,0,2.6,"Fri",0,"above"
0.522666666666667,74.7,0,2.4,"Sat",0,"above"
0.486486486486487,79.5,0,3.8,"Sun",0,"above"
0.496042216358839,83.2,0,4.1,"Mon-Thu",0,"above"
0.497142857142857,86,0,4.2,"Mon-Thu",0,"above"
0.439226519337017,88.3,0,4.3,"Mon-Thu",0,"above"
0.473354231974922,76,0,2.1,"Mon-Thu",0,"above"
0.564564564564565,72.7,0,1.9,"Fri",0,"above"
0.463917525773196,63.6,0,6.3,"Sat",0,"above"
0.501730103806228,67.5,0,2.4,"Sun",0,"above"
0.444099378881988,74,0,2.5,"Mon-Thu",0,"above"
0.469325153374233,80.1,0,5.6,"Mon-Thu",0,"above"
0.401234567901235,79.8,0,2.4,"Mon-Thu",0,"above"
0.522875816993464,78.9,0,4.2,"Mon-Thu",0,"above"
0.520231213872832,75.4,0,3.6,"Fri",0,"above"
0.51877133105802,73.1,0,2.7,"Sat",0,"above"
0.498098859315589,72.6,0,1.7,"Sun",0,"above"
0.429042904290429,77.3,0,3,"Mon-Thu",0,"above"
0.419463087248322,71.1,0,6.1,"Mon-Thu",0,"above"
0.422960725075529,75.2,0,3.2,"Mon-Thu",0,"above"
0.486559139784946,80.8,0,1.9,"Mon-Thu",0,"above"
0.434285714285714,84,0,2.9,"Fri",0,"above"
0.566371681415929,81.7,0,1.4,"Sat",0,"above"
0.609677419354839,76.5,0,3.9,"Sun",0,"above"
0.414634146341463,74.7,0,4.1,"Mon-Thu",0,"above"
0.552447552447552,78.6,0,2.3,"Mon-Thu",0,"above"
0.43030303030303,77.5,0,1.9,"Mon-Thu",0,"above"
0.443768996960486,74,0,2.8,"Mon-Thu",0,"above"
0.382716049382716,73.6,0,2.6,"Fri",0,"above"
0.620178041543027,74.5,0,2,"Sat",0,"above"
0.475155279503106,74.9,0,1.8,"Sun",0,"above"
0.515320334261838,80,0,2.2,"Mon-Thu",0,"above"
0.459119496855346,81.4,0,2.4,"Mon-Thu",0,"above"
0.456666666666667,74.8,0,3.9,"Mon-Thu",0,"above"
0.492163009404389,73.3,0,2.7,"Mon-Thu",0,"above"
0.451697127937337,74.5,0,6.2,"Fri",0,"above"
0.526912181303116,69,0,3.4,"Sat",0,"above"
0.577557755775578,71.3,0,1.8,"Sun",0,"above"
0.526153846153846,70.5,0,3.6,"Mon-Thu",0,"above"
0.485623003194888,72,0,1.9,"Mon-Thu",0,"above"
0.494845360824742,71.9,0,3,"Mon-Thu",0,"above"
0.361842105263158,73.1,0,4.3,"Mon-Thu",0,"above"
0.569014084507042,77.4,0,2.5,"Fri",0,"above"
0.494011976047904,78.6,0,3.9,"Sat",0,"above"
0.474522292993631,72.4,0,5.6,"Sun",0,"above"
0.480825958702065,72.6,0,5.1,"Mon-Thu",0,"above"
0.610271903323263,76.6,0,1.7,"Mon-Thu",0,"above"
0.395569620253165,79.2,0,2.5,"Mon-Thu",0,"above"
0.506172839506173,80.9,0,3.5,"Mon-Thu",0,"above"
0.505586592178771,85.3,0,2,"Fri",0,"above"
0.473509933774834,84.1,0,2.7,"Sat",0,"above"
0.522292993630573,76.8,0,4,"Sun",0,"above"
0.471760797342193,74.5,0,2.2,"Mon-Thu",0,"above"
